Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-664.7659768807825,0.0,1000.0,1,20000,40,0.012354048900306225,0.00029939999999999996,21.874787830735166,0.002437206129529071,-0.012735655223772215,19.405765056610107,90.54138827323914,109.94715476036072,-7.171630755919978e-08,1.4305114870438729e-09
-648.9547178292911,0.0,1000.0,2,40000,40,0.015933077782392502,0.00029879999999999994,28.156095229931914,0.00015255667690892554,-0.016292785818148522,18.680133819580078,90.67996954917908,109.36010503768921,4.425048771850015e-08,1.9073485846288207e-10
-619.9030308572972,0.0,1000.0,3,60000,40,0.016488341614603996,0.00029819999999999993,28.759697121934007,1.2936629919356249e-06,-0.019132411112739577,17.919703006744385,90.6333920955658,108.55309724807739,-1.2664794724059902e-07,1.2759118761529464e-10
-581.6092618612431,0.0,1000.0,4,80000,39,0.021166184917092323,0.0002975999999999999,28.009822136472796,8.841154652024486e-07,-0.023045496277697582,18.667611360549927,89.00699615478516,107.67460942268372,6.561278809158466e-08,-5.127862023890373e-10
-548.9586109903029,0.0,1000.0,5,100000,34,0.02037092112004757,0.0002969999999999999,22.499736908704932,6.175949503891028e-07,-0.02318056472492266,18.43071746826172,78.25219225883484,96.68291139602661,-4.3487546008691425e-08,-7.711351002193112e-11
-510.6042734996237,0.0,1000.0,6,120000,27,0.020039230585098267,0.0002963999999999999,24.426489570016425,4.279987267883885e-07,-0.02171679252439916,17.735711336135864,62.04422116279602,79.77993416786194,-3.05175760217935e-08,9.876675866049567e-11
-462.4524030750229,0.0,1000.0,7,140000,22,0.020796718075871468,0.00029579999999999987,21.96604932507491,2.9762706930609585e-07,-0.021700033501186603,18.95079207420349,50.4090359210968,69.35982990264893,1.0871886502172856e-08,-1.448206554677256e-10
-419.18140965314717,0.0,1000.0,8,160000,21,0.020747406408190727,0.0002951999999999999,20.643370072808636,2.0947370107398445e-07,-0.02130341060146764,18.08897376060486,48.49470639228821,66.58368182182312,-5.340575981449547e-09,1.2619420786119662e-10
-383.477755035791,0.0,1000.0,9,180000,20,0.022237157449126244,0.0002945999999999999,20.85329912820944,1.422338780213095e-07,-0.02259464001791855,17.5732901096344,45.55058479309082,63.12387752532959,1.5258788677030566e-09,-1.1385418302589656e-10
-351.6610887336132,0.0,1000.0,10,200000,12,0.020352812483906746,0.0002939999999999999,12.35401024287755,1.0045855170138112e-07,-0.020193408737658337,18.465378999710083,27.83364486694336,46.29902482032776,1.2969969986897922e-08,-2.720625946750488e-10
-318.4672618771075,0.0,1000.0,11,220000,13,0.020884446799755096,0.00029339999999999987,13.30800075231005,7.049227916596134e-08,-0.019448564684832855,17.412657737731934,29.81637406349182,47.22903370857239,1.1444091896350983e-08,-9.546056436646189e-13
-282.72780411839267,0.016000000000000004,1000.0,12,240000,11,0.020686553791165352,0.0002927999999999999,17.082238979129087,0.0004322536772221862,-0.01846656761901205,18.08773398399353,24.37547755241394,42.463212966918945,4.0435789827597546e-08,2.145767175054658e-10
-239.62010159122968,0.020000000000000004,1000.0,13,260000,14,0.020421423017978668,0.0002921999999999999,13.433926827882534,2.8704093329314297e-08,-0.02007370901012233,18.45330309867859,32.08101797103882,50.53432273864746,-8.392333938900265e-09,-6.800982693677682e-11
-187.5738077544063,0.014000000000000002,1000.0,14,280000,11,0.021386826410889626,0.0002915999999999999,15.003353834498458,1.977873040176868e-08,-0.01729335119629145,17.96722984313965,25.1136736869812,43.08090567588806,5.187987994759169e-08,2.774177068620709e-11
-139.90979855976505,0.0,1000.0,15,300000,10,0.021118685603141785,0.00029099999999999986,10.472929268066114,1.4127522898781344e-08,-0.018859371347739674,18.927239656448364,23.424994945526123,42.35223627090454,7.934570334100499e-08,-8.614733817795261e-13
-105.56443356757862,0.0,1000.0,16,320000,6,0.02106671966612339,0.00029039999999999985,10.990062738252016,1.02807075362572e-08,-0.013435683322274964,17.74111771583557,13.778811693191528,31.519931316375732,1.525878801089675e-08,3.782333821145123e-11
-70.29783866496486,0.011,1000.0,17,340000,14,0.020849760621786118,0.00028979999999999983,12.40997706761049,0.0004321835699577018,-0.02077722322176215,18.787036895751953,31.8448748588562,50.63191342353821,9.651184029735305e-08,2.384185730786026e-11
-22.817441744033594,0.045000000000000005,1000.0,18,360000,10,0.021638408303260803,0.0002891999999999998,13.090061123911946,0.0008640563533339595,-0.018613832056992494,18.406325340270996,22.575587272644043,40.981914043426514,9.155272984173735e-09,7.15255701888573e-11
32.61488900678003,0.05900000000000001,1000.0,19,380000,7,0.02006855048239231,0.0002885999999999998,14.629702939773901,8.218142387383081e-10,-0.014445543697674298,18.928933143615723,16.358676433563232,35.28761124610901,4.577636758540393e-08,3.02097756532671e-12
78.31499071573634,0.044000000000000004,1000.0,20,400000,10,0.02411547116935253,0.00028799999999999984,14.181999458063144,0.0004356547432590882,-0.01655632057301581,18.374804735183716,23.681274890899658,42.05608153343201,-8.697509201738285e-08,9.536742923144104e-11
131.32141722677542,0.025,1000.0,21,420000,7,0.021948043256998062,0.00028739999999999983,15.911989738058685,2.3887178917795275e-10,-0.013994644827025358,18.0152370929718,15.612248659133911,33.62748718261719,3.051757735406113e-09,-4.177308997842244e-13
175.99177184365607,0.10900000000000003,1000.0,22,440000,8,0.02176002971827984,0.0002867999999999998,18.614115553542067,0.003632441306950757,-0.014809875018945255,19.07861828804016,18.500685691833496,37.579307317733765,7.629394360719743e-08,5.483627441016381e-10
226.9448287590141,0.17300000000000004,1000.0,23,460000,4,0.021511610597372055,0.0002861999999999998,18.03388811376529,0.0017190352029275526,-0.008067052567767474,18.25426721572876,9.509187459945679,27.76345658302307,1.8692016823251834e-08,3.337859988405967e-10
275.53196827788213,0.22799999999999998,1000.0,24,480000,7,0.021377092227339745,0.0002855999999999998,19.02212346476107,0.001731206314269194,-0.012102123558188018,18.58827257156372,15.988670825958252,34.57694458961487,4.730224389959403e-08,3.337859988405967e-10
327.632824590523,0.24199999999999994,1000.0,25,500000,2,0.02008170075714588,0.00028499999999999977,23.66268097783049,0.00451818808755743,-0.003665253313216634,18.810969829559326,4.580252647399902,23.39122486114502,1.0681151962899094e-08,0.0
367.1008557601572,0.40099999999999997,1000.0,26,520000,5,0.020861761644482613,0.00028439999999999976,21.59509146084039,0.008549666047393241,-0.009491673939394207,18.615927934646606,10.759460926055908,29.375391006469727,-6.179809730610941e-08,-9.536742923144104e-11
400.9646980407007,0.557,1000.0,27,540000,8,0.020936282351613045,0.00028379999999999974,23.02069178975809,0.003419987356780436,-0.011501328356879444,18.70569610595703,18.086283445358276,36.79198122024536,-3.433227480087453e-09,-5.722045615108584e-10
428.0285273349562,0.6320000000000001,1000.0,28,560000,9,0.02122344821691513,0.00028319999999999973,25.208369935874952,0.010640192592539911,-0.011229740617413934,18.654433012008667,20.369853258132935,39.02428936958313,5.340575981449547e-09,-9.536742923144104e-11
468.7300191883596,0.8010000000000002,1000.0,29,580000,2,0.022952226921916008,0.0002825999999999997,25.65848779830689,0.010261377215255678,0.001232949089996826,18.491552591323853,4.601194620132446,23.092748880386353,2.0217894913798773e-08,6.198883073516015e-10
520.2817423503813,1.142,1000.0,30,600000,1,0.020018866285681725,0.0002819999999999997,28.17901074772064,0.017157151538320033,0.005909615223066876,19.016685247421265,2.0228707790374756,21.039557218551636,2.2888183792701966e-08,4.768371253405235e-10
553.9949210905975,1.4690000000000003,1000.0,31,620000,1,0.024338630959391594,0.00028139999999999974,29.974439895191132,0.02135355638551374,0.005216542455834893,19.020734548568726,2.263432741165161,21.284168481826782,-1.2207030941624453e-08,1.9073485846288207e-10
574.4476389350273,1.8329999999999997,1000.0,32,640000,6,0.021374091506004333,0.0002807999999999997,29.302345654708002,0.03433545739547408,-0.008780070317460817,18.896409034729004,13.518049240112305,32.41446018218994,-1.2207030941624453e-08,1.6212462483622403e-09
