Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/KL,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv,Misc/Alpha,Misc/FinalStepNorm,Misc/xHx,Misc/gradient_norm,Misc/H_inv_g,Misc/AcceptanceStep
-642.2869918933443,0.0,1000.0,1,20000,0.0010115592,21.383241955945447,0.0039009393407306247,-1.9550322249983765e-08,18.044454097747803,6.416903734207153,24.461361169815063,1.3732909920349812e-08,-1.6212462483622403e-09,0.597333550453186,0.08282218873500824,0.056052640080451965,0.13866646587848663,0.4471668303012848,1.0
-632.3490847003776,0.0,1000.0,2,40000,0.0008428673,21.900176946069024,0.00015717087102947152,-1.0463595323528807e-08,17.902682781219482,5.813206195831299,23.715891122817993,1.2207030941624453e-08,2.503394991304475e-10,0.6527622938156128,0.07893078029155731,0.046937476843595505,0.12093331664800644,0.4309524893760681,1.0
-592.543690795031,0.0,1000.0,3,60000,0.0009123786,26.129120064389173,9.459223413608589e-05,4.140436260513525e-08,18.563897848129272,6.260517120361328,24.82441735267639,-3.9672851670502496e-08,2.1159649032931327e-10,0.7558509111404419,0.0804491639137268,0.035007212311029434,0.10645322501659393,0.36444276571273804,1.0
-546.3172448776928,0.0,1000.0,4,80000,0.0008548205,26.29795790022346,1.1337044510884162e-05,1.017153223870082e-07,18.678936004638672,6.533456802368164,25.21239471435547,-1.0128020733191079e-07,6.243586203602547e-10,0.7579002976417542,0.07935266941785812,0.034818146377801895,0.10471846163272858,0.36913159489631653,1.0
-518.5838629906998,0.0,1000.0,5,100000,0.00096305547,25.958532646810934,1.0845109483569012e-06,1.3901106932223684e-08,17.38913130760193,6.113852500915527,23.502985954284668,-1.525878801089675e-08,1.7024576193236385e-10,0.6364408135414124,0.08213981986045837,0.04937576502561569,0.12907637655735016,0.4194810390472412,1.0
-498.9437704892739,0.0,1000.0,6,120000,0.0009518029,24.62951278018344,7.529501033332054e-07,3.1467994432432533e-08,17.893502473831177,6.454803943634033,24.348308563232422,-2.7465819840699623e-08,1.8719582828286008e-10,0.8084078431129456,0.08102048188447952,0.03060333803296089,0.10024137049913406,0.3403249979019165,1.0
-470.4952633454287,0.0,1000.0,7,140000,0.000993446,21.3269384159404,5.462429294746204e-07,1.2700818174948836e-08,18.0827317237854,6.285760164260864,24.36849546432495,-1.2207030941624453e-08,4.929490149407911e-10,0.7727274298667908,0.08134925365447998,0.03349478542804718,0.10529196262359619,0.35648974776268005,1.0
-446.05323750845736,0.0,1000.0,8,160000,0.0015703647,27.98437982304081,3.7513886466521904e-07,-5.275942183136095e-11,17.700782537460327,6.543492555618286,24.24427890777588,-6.103515470812226e-09,-5.261972454984054e-11,0.7577424645423889,0.08710870146751404,0.034832656383514404,0.11497155576944351,0.35373130440711975,1.0
-413.33250798814186,0.0,1000.0,9,180000,0.0009152701,19.47911644832344,2.5909156710864917e-07,-8.693290531880393e-09,18.423301458358765,6.115248918533325,24.538553714752197,9.155272984173735e-09,4.626810323760111e-10,0.7151917219161987,0.0794999971985817,0.039100728929042816,0.11117434501647949,0.3920692503452301,1.0
-378.3164424208168,0.0,1000.0,10,200000,0.0010479032,16.23904216608424,1.8351002680920556e-07,-3.0473339407421918e-09,17.53969383239746,5.905116319656372,23.444814205169678,3.051757735406113e-09,4.563480669739217e-12,0.6819349527359009,0.08195101469755173,0.04300747811794281,0.12018660455942154,0.40214651823043823,1.0
-349.09477275948734,0.0,1000.0,11,220000,0.0010186875,17.711925765966914,1.2816957331895706e-07,-4.89181850582554e-09,18.108115434646606,6.5029296875,24.61104726791382,6.866454960174906e-09,6.75208847167319e-11,0.6320664286613464,0.08039027452468872,0.05006157234311104,0.12719851732254028,0.4426939785480499,1.0
-329.31597699106885,0.0,1000.0,12,240000,0.00092849846,16.961375543570064,8.68102339963055e-08,1.2730014820050428e-09,17.73721718788147,6.448309421539307,24.185530424118042,-7.629394005448376e-09,1.2852251207728926e-10,0.7420390844345093,0.07956875115633011,0.03632254898548126,0.10724335163831711,0.3794737458229065,1.0
