Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-655.0649673982128,0.0,1000.0,1,20000,40,0.013448801822960377,0.00029939999999999996,21.47406866794196,0.0023286758101089284,-0.014483832083597851,18.065580368041992,90.78421783447266,108.84980010986328,-8.85009754370003e-08,1.9669532669297496e-09
-644.7454618248435,0.0,1000.0,2,40000,40,0.014114143326878548,0.00029879999999999994,24.113995300238123,0.00035645992112213587,-0.016547072256138672,18.931355714797974,91.58870649337769,110.52006387710571,-1.4038086249001935e-07,-1.847743902327892e-10
-620.1751779348966,0.0,1000.0,3,60000,40,0.015389545820653439,0.00029819999999999993,36.92425582538397,0.0002706623424137288,-0.017601973273472998,17.633464336395264,91.23013877868652,108.86360478401184,1.2969969986897922e-08,-5.811452985504673e-10
-586.5847825600077,0.014000000000000002,1000.0,4,80000,33,0.02000686526298523,0.0002975999999999999,37.55100181264561,0.0006230553440338692,-0.02003373313473024,17.956979990005493,75.33407926559448,93.29106116294861,2.1362303925798187e-08,8.821487429422348e-10
-548.6962691993879,0.042000000000000016,1000.0,5,100000,33,0.02041766233742237,0.0002969999999999999,32.99563207320731,0.0015745516210010323,-0.022516016321185887,18.188762664794922,74.12587976455688,92.31464505195618,-1.831054596834747e-08,2.384185730786026e-11
-516.3562390724218,0.05600000000000001,1000.0,6,120000,30,0.020340390503406525,0.0002963999999999999,23.470664521807425,5.771096914343541e-05,-0.024261744739289402,18.686842679977417,68.08518481254578,86.77203011512756,-1.2588500908350397e-08,3.4570693530078245e-10
-468.28505800352394,0.038000000000000006,1000.0,7,140000,25,0.020613230764865875,0.00029579999999999987,25.818385609026535,3.553118262375436e-06,-0.02223314375036393,19.01221776008606,57.64154505729675,76.65376377105713,-2.2888182460434336e-09,-3.337859988405967e-10
-429.75971162703325,0.012999999999999998,1000.0,8,160000,21,0.020187469199299812,0.0002951999999999999,25.28087271973729,0.00043474866935206037,-0.021107001783912577,18.678422689437866,47.65973258018494,66.33815717697144,8.77380390562621e-09,2.384185730786026e-11
-388.3449801741926,0.020000000000000004,1000.0,9,180000,20,0.02032504789531231,0.0002945999999999999,22.97889853932987,1.702685061865542e-06,-0.020979973694648796,18.026427268981934,44.642823934555054,62.66925287246704,-1.2207030941624453e-08,-3.6815181458926816e-10
-350.18880390058894,0.017,1000.0,10,200000,19,0.02013600990176201,0.0002939999999999999,18.045406870186902,1.1589601114167113e-06,-0.021440864088364875,19.412986993789673,44.40541362762451,63.81840205192566,8.583068478174027e-09,-4.833564104522736e-11
-304.7217873186209,0.04599999999999999,1000.0,11,220000,17,0.02133241295814514,0.00029339999999999987,20.928179214153495,0.00317339372416243,-0.020066818710030795,18.28086280822754,38.43714880943298,56.71801447868347,-3.051757735406113e-09,6.675719976811934e-10
-263.89545801393126,0.10300000000000002,1000.0,12,240000,16,0.020433755591511726,0.0002927999999999999,20.159917093408755,0.002105763997959986,-0.02094419842091993,19.09557032585144,36.648555755615234,55.744128704071045,6.294250454175199e-09,4.768371253405235e-10
-222.26903752781362,0.13600000000000004,1000.0,13,260000,15,0.020144667476415634,0.0002921999999999999,25.399647945895616,0.0016947648216410131,-0.02004973368026927,18.37777829170227,33.95491051673889,52.33269000053406,7.629394005448376e-09,-2.384185730786026e-11
-169.09989687109234,0.14800000000000005,1000.0,14,280000,15,0.02176729217171669,0.0002915999999999999,26.178348283696607,0.0027626061392266345,-0.018937351470525526,18.51886796951294,35.095760345458984,53.61463117599487,-2.6702879907247734e-09,6.198883073516015e-10
-124.47832507955579,0.17200000000000001,1000.0,15,300000,12,0.020634137094020844,0.00029099999999999986,22.98139526186406,3.189508620533749e-08,-0.020115814493578306,18.48620891571045,26.433829069137573,44.9200394153595,-3.852844088214624e-08,1.0326038635266599e-10
-84.36454373643657,0.18800000000000003,1000.0,16,320000,13,0.020198797807097435,0.00029039999999999985,30.010741064372123,0.0029621889439906427,-0.017610656419454446,18.27330493927002,29.711162567138672,47.984468936920166,3.128051773160223e-08,5.722045615108584e-10
-50.10588103743332,0.163,1000.0,17,340000,9,0.020762255415320396,0.00028979999999999983,23.058181117433243,0.001210929769118472,-0.014837528510831817,18.608667850494385,20.379679679870605,38.988348960876465,-3.890990996069377e-08,0.0
-1.6348481114069415,0.203,1000.0,18,360000,11,0.020216934382915497,0.0002891999999999998,31.575430442107614,0.0017239266627726243,-0.01770654166479236,16.8743679523468,24.769198179244995,41.64356732368469,1.831054596834747e-08,-2.145767175054658e-10
52.71501624566177,0.18200000000000002,1000.0,19,380000,9,0.020802361890673637,0.0002885999999999998,25.520525407571085,0.0033827923354046354,-0.01591687234162221,17.994281768798828,19.942936182022095,37.93721961975098,8.354187031045512e-08,4.768371253405235e-10
118.63492636797908,0.3390000000000001,1000.0,20,400000,6,0.023545002564787865,0.00028799999999999984,30.44793532933163,0.007161602242656386,-0.012049949075828313,18.72118377685547,13.165526866912842,31.8867130279541,1.5258788677030566e-09,7.629394338515283e-10
188.88690914186174,0.6459999999999999,1000.0,21,420000,9,0.02234777994453907,0.00028739999999999983,34.19125721883723,0.012122799581195108,-0.014928346470376575,18.17723250389099,20.7689208984375,38.94615602493286,9.765624753299562e-08,-5.722045615108584e-10
