Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-629.6943833850559,0.0,1000.0,1,20000,40,0.013492628000676632,0.00029939999999999996,21.779791616517514,0.0034775491207813883,-0.012538611341398744,19.601640701293945,91.80025911331177,111.40190148353577,-2.494811894848681e-07,5.722045615108584e-10
-621.9410435260828,0.0,1000.0,2,40000,40,0.014357930980622768,0.00029879999999999994,34.63813974621197,0.00026433211259283354,-0.01451238632051887,18.163604736328125,94.41469311714172,112.5782995223999,-4.959106192359286e-08,-6.258487478261188e-11
-604.4016922381991,0.0,1000.0,3,60000,40,0.015140200033783913,0.00029819999999999993,26.111572743452395,0.00019256393504435028,-0.017140067722306203,18.23802661895752,91.55809926986694,109.7961277961731,-1.0375975989518338e-07,6.079673431358401e-10
-577.6107497707635,0.0,1000.0,4,80000,40,0.018245959654450417,0.0002975999999999999,30.963711797848298,0.00011858530828010788,-0.019978128676228345,19.805994510650635,92.67145299911499,112.47744941711426,4.425048771850015e-08,5.438923755818337e-10
-559.3321331452839,0.0,1000.0,5,100000,34,0.020491208881139755,0.0002969999999999999,36.346883163082936,1.861687128602605e-05,-0.021268896460090322,19.099940299987793,79.4384024143219,98.53834414482117,3.585815377959989e-08,-1.534819632498241e-10
-519.8527862328499,0.0,1000.0,6,120000,33,0.020381873473525047,0.0002963999999999999,26.95757676537379,6.0095718987726325e-06,-0.022389703026202426,19.434934616088867,77.67624378204346,97.11118125915527,-2.6702879907247734e-08,-3.89106552534102e-10
-476.4566164530794,0.0,1000.0,7,140000,22,0.020332330837845802,0.00029579999999999987,17.86030719517761,4.1713886009624434e-06,-0.0209783585242372,18.72574257850647,52.456971645355225,71.18271565437317,5.340575981449547e-09,-3.3285468825638986e-10
-435.323647391376,0.0,1000.0,8,160000,26,0.021074241027235985,0.0002951999999999999,19.533340707637368,2.893749668866882e-06,-0.02165221267613967,19.599602222442627,60.97441530227661,80.57402062416077,-3.051757735406113e-09,-2.007931459990786e-10
-397.61842209209647,0.0,1000.0,9,180000,19,0.02056657150387764,0.0002945999999999999,19.732671751381872,2.037331641258421e-06,-0.020139239202418738,20.034250736236572,43.75751566886902,63.79176926612854,6.866454960174906e-09,3.9376316096628727e-10
-355.3762502934788,0.022,1000.0,10,200000,25,0.02205527387559414,0.0002939999999999999,21.806362234121693,0.0008654167443110606,-0.021274602167165507,18.35616707801819,57.24242448806763,75.59859299659729,-3.051757735406113e-09,5.00678998260895e-10
-316.1388084989725,0.04000000000000001,1000.0,11,220000,14,0.020323270931839943,0.00029339999999999987,18.27560061213634,9.937589961346906e-07,-0.018475932390473713,17.690098762512207,33.026039123535156,50.71613931655884,6.103515470812226e-09,2.899206985595981e-10
-263.3872796669627,0.06300000000000001,1000.0,12,240000,19,0.02036428079009056,0.0002927999999999999,19.088029846937413,0.0008671052847211653,-0.020027750545299258,20.05816650390625,43.47331261634827,63.531481981277466,4.882812376649781e-08,9.536742923144104e-11
