Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/KL,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv,Misc/Alpha,Misc/FinalStepNorm,Misc/xHx,Misc/gradient_norm,Misc/H_inv_g,Misc/AcceptanceStep
-639.483568813881,0.0,1000.0,1,20000,0.00092156435,25.565053025020916,0.0038472524053672222,7.262229217985805e-08,18.719000816345215,6.4905126094818115,25.20951533317566,-7.019043124500968e-08,-4.768371253405235e-10,0.7382873296737671,0.08053208142518997,0.03669264167547226,0.10909698158502579,0.3782670497894287,1.0
-645.9178546914266,0.0,1000.0,2,40000,0.000888481,27.62178979497047,0.00020690974768304568,-1.3703106560569722e-07,17.89580273628235,6.117403030395508,24.01320767402649,1.4038086249001935e-07,2.965331036275387e-10,0.6968097686767578,0.07968654483556747,0.04119091480970383,0.1143757775425911,0.4068894386291504,1.0
-631.8522342221092,0.017460335886379897,1000.0,3,60000,0.00071686396,28.883194937371904,0.0005269036745462732,8.676052232203801e-08,17.72732138633728,6.320456504821777,24.04777956008911,-8.697509201738285e-08,-1.7404555574529468e-09,0.7587816119194031,0.07573404163122177,0.03473731502890587,0.09982964396476746,0.3879813849925995,1.0
-594.223664651209,0.020000000000000004,1000.0,4,80000,0.00089953677,34.393194409996084,1.6179673478806654e-05,4.7043336337537767e-08,19.5435688495636,5.979786396026611,25.52335786819458,-4.730224389959403e-08,1.19954338129169e-10,0.7599688768386841,0.08009742945432663,0.034628864377737045,0.10541314631700516,0.36693868041038513,1.0
-547.4635728888125,0.013000000000000001,1000.0,5,100000,0.0009861036,27.828143755797367,1.0748451558744592e-05,-2.893581907414955e-08,20.007617473602295,6.648486614227295,26.65610671043396,2.1171569386524425e-08,-2.611055816004182e-09,0.7168756723403931,0.08166360855102539,0.03891725093126297,0.11393164098262787,0.38068100810050964,1.0
-520.1721586220141,0.0,1000.0,6,120000,0.0013024221,33.342440213974875,7.360226435055341e-06,-8.732080059026259e-10,19.328569650650024,6.319180727005005,25.64775323867798,0.0,-1.1213123485287468e-10,0.6543291211128235,0.0864565521478653,0.046712957322597504,0.13214479386806488,0.3971947729587555,1.0
-492.7683638906474,0.0,1000.0,7,140000,0.0010267779,29.718478679656982,5.0946028239102894e-06,-1.1833384050419227e-08,18.733943939208984,5.810303211212158,24.544249534606934,1.2207030941624453e-08,3.706663864733173e-10,0.7401508688926697,0.0812748447060585,0.03650810942053795,0.10982522368431091,0.3812919557094574,1.0
-465.4840202216299,0.0,1000.0,8,160000,0.0014897865,33.226669776819314,3.5321760223830858e-06,-4.432536560017297e-09,18.687544345855713,6.42207145690918,25.109617471694946,0.0,-1.3852491376198373e-09,0.742207944393158,0.08716733008623123,0.036306023597717285,0.11745762079954147,0.35902777314186096,1.0
-430.6100784298304,0.0,1000.0,9,180000,0.000928164,29.84248824392914,2.4417153431067784e-06,3.2156703966279565e-09,18.909106492996216,6.35357928276062,25.262688636779785,-3.051757735406113e-09,1.6354023690823283e-10,0.8173694014549255,0.07997539639472961,0.02993595600128174,0.09786275029182434,0.34427887201309204,1.0
-399.78826170596506,0.0,1000.0,10,200000,0.0010997504,27.325112201909352,1.6875097416069963e-06,7.000844792770522e-09,19.3524489402771,6.015427827835083,25.367878198623657,-3.051757735406113e-09,8.966773434870845e-10,0.7563271522521973,0.0812903568148613,0.03496314585208893,0.10749541223049164,0.37239694595336914,1.0
-356.6862299294017,0.0,1000.0,11,220000,0.0012549099,23.15377899036286,1.1784165953260155e-06,2.398807374959233e-09,17.11553955078125,6.248540639877319,23.36408257484436,-3.051757735406113e-09,1.119449671849182e-10,0.7048280835151672,0.08502915501594543,0.04025904834270477,0.12065167725086212,0.3803180456161499,1.0
-334.4581550537422,0.0,1000.0,12,240000,0.0016862375,29.190665517187423,8.26570051723503e-07,2.9971820580954045e-09,18.202510833740234,6.71074366569519,24.913257598876953,-3.051757735406113e-09,-8.164904863328104e-10,0.6796451210975647,0.0873396247625351,0.04329776018857956,0.1285196989774704,0.39859113097190857,1.0
-307.59657473536515,0.0,1000.0,13,260000,0.0010595842,23.88004922623847,5.726731915650828e-07,-7.937475565711338e-09,19.636621952056885,5.819897890090942,25.456522464752197,5.340575981449547e-09,-3.089196953798279e-10,0.762515127658844,0.08068733662366867,0.03439797833561897,0.10583056509494781,0.37209996581077576,1.0
-275.32170838397417,0.0,1000.0,14,280000,0.0009036615,21.857972283575943,3.8836681697891324e-07,-1.3929465580986289e-08,18.632099866867065,6.704296827316284,25.336398363113403,9.155272984173735e-09,-1.9622965752308374e-10,0.736787736415863,0.07895127683877945,0.03684215992689133,0.1071687862277031,0.3907678723335266,1.0
-243.46661433024056,0.0,1000.0,15,300000,0.0019440786,25.209339829463108,2.967513439439447e-07,-1.225685686279121e-08,18.122401475906372,6.501573085784912,24.623976469039917,1.831054596834747e-08,-5.0896776376818664e-11,0.7132607102394104,0.08906222879886627,0.039312735199928284,0.1248784139752388,0.3841048777103424,1.0
-217.5213407666302,0.0,1000.0,16,320000,0.0011953198,19.708904452840233,1.9602592104840056e-07,-9.824475455388892e-09,18.110303163528442,6.136807680130005,24.24711275100708,4.577636492086867e-09,9.313225191043273e-11,0.6274687051773071,0.0813126340508461,0.050797902047634125,0.1295977532863617,0.45918819308280945,1.0
-194.38344852657053,0.0,1000.0,17,340000,0.0013825746,20.824720214430695,1.3812191733905634e-07,-3.3458043446898955e-08,18.63518238067627,6.19263482093811,24.827819347381592,3.585815377959989e-08,1.1119991039088006e-10,0.688321590423584,0.08244591951370239,0.0422130823135376,0.11978834867477417,0.41691854596138,1.0
-162.09955351389522,0.0,1000.0,18,360000,0.002090193,19.53780043899633,9.437122763471331e-08,-7.961270753753524e-09,19.207858085632324,6.459833383560181,25.667694330215454,7.247924482811641e-09,4.987232155029275e-11,0.6973263621330261,0.08632105588912964,0.041129905730485916,0.12380003929138184,0.4166182577610016,1.0
-136.03280289982138,0.0,1000.0,19,380000,0.0015994087,22.821810152576226,6.743958647520315e-08,-1.1921836851058742e-08,18.540417671203613,5.936516761779785,24.476936101913452,1.4495848965623281e-08,-9.597279221340571e-11,0.6818209886550903,0.08542139828205109,0.043021850287914276,0.12529601156711578,0.40612417459487915,1.0
-127.04060579155116,0.0,1000.0,20,400000,0.001589889,24.00373826118032,4.683772233414883e-08,3.80296238944311e-09,18.332411527633667,5.91663670539856,24.249050617218018,-1.5258788677030566e-09,-1.206062680281228e-11,0.7498283386230469,0.08512350171804428,0.03557182848453522,0.11353534460067749,0.37148165702819824,1.0
-110.99671584427128,0.0,1000.0,21,420000,0.001633798,23.00152809726205,3.49853361194148e-08,-2.21601226257917e-08,17.931493282318115,6.1840996742248535,24.1155948638916,1.9836425835251248e-08,-3.473833026790274e-11,0.7477213740348816,0.08342573791742325,0.03577258065342903,0.11158357560634613,0.3930506408214569,1.0
-81.05654281977677,0.0,1000.0,22,440000,0.0019382903,17.759386643330764,2.489249870292255e-08,-2.1292233753911205e-08,18.766735315322876,6.03314995765686,24.799886465072632,2.1362303925798187e-08,6.994232276680279e-11,0.6301479935646057,0.08777666836977005,0.0503668487071991,0.13930481672286987,0.43378153443336487,1.0
-36.479518271978336,0.0,1000.0,23,460000,0.0014789997,23.21264259678543,1.8234802117241192e-08,-2.44683349137631e-08,18.99367618560791,6.768263339996338,25.761942625045776,2.70843507621521e-08,-5.4249538888884175e-11,0.6917845606803894,0.08633674681186676,0.04179151728749275,0.12481208145618439,0.38924726843833923,1.0
-0.6992049674469589,0.0,1000.0,24,480000,0.0025774075,25.434449732835127,1.3406042073477e-08,3.2995583154615815e-08,18.56082057952881,6.1903395652771,24.751161813735962,-3.194809039541724e-08,-1.65309758069776e-12,0.6532017588615417,0.09168269485235214,0.04687434062361717,0.14036825299263,0.420869380235672,1.0
27.53369116153248,0.015000000000000003,1000.0,25,500000,0.0016750983,27.23637178445318,0.0004372310590114505,-2.5248526824839246e-08,17.50429391860962,6.5075788497924805,24.01187491416931,2.2029876589613195e-08,4.768371461572052e-11,0.7582911849021912,0.08466203510761261,0.03478226065635681,0.11165885627269745,0.38129979372024536,1.0
61.08408388370282,0.020000000000000004,1000.0,26,520000,0.0017105413,33.63198020594894,3.185407629445443e-08,-3.285224892124461e-08,18.981666326522827,6.461895704269409,25.44356346130371,3.356933575560106e-08,-4.5925842989680277e-11,0.6825621128082275,0.08579608052968979,0.04292847961187363,0.125705286860466,0.4163456857204437,1.0
86.03446486187433,0.015000000000000003,1000.0,27,540000,0.0026103852,37.92180960466907,2.231466504909463e-08,1.2121535775122538e-08,19.138113498687744,6.633483648300171,25.771599531173706,-9.155272984173735e-09,-8.532078515921526e-11,0.7178475260734558,0.0928313210606575,0.03881194442510605,0.12932787835597992,0.38228484988212585,1.0
100.85458110788343,0.0,1000.0,28,560000,0.0041566975,43.15835808067565,1.7496532561348948e-08,4.569685518873712e-09,19.38394331932068,5.933307886123657,25.317253828048706,-3.814697002724188e-09,-7.75325983970454e-12,0.7571514248847961,0.09978655725717545,0.03488706052303314,0.13179929554462433,0.3690185546875,1.0
128.40074237246566,0.03300000000000001,1000.0,29,580000,0.0016292677,54.13517285972644,0.0008615438131919855,2.4139881205087477e-08,17.7795193195343,6.230915069580078,24.010436058044434,-2.1362303925798187e-08,-1.5497207683790037e-10,0.7775445580482483,0.08327259868383408,0.0330810509622097,0.10710596293210983,0.37963569164276123,1.0
152.24261330113447,0.05500000000000001,1000.0,30,600000,0.0049383678,56.35822822425016,0.00043283892333568623,-1.1110305564443479e-08,19.091163158416748,6.1002562046051025,25.1914222240448,1.2588500908350397e-08,0.0,0.7946345210075378,0.10195162147283554,0.03167342022061348,0.12830515205860138,0.34058722853660583,1.0
187.9923975594009,0.17700000000000005,1000.0,31,620000,0.004570945,62.75420207369859,0.004655825887654313,-8.392333938900265e-09,18.62604331970215,6.110345125198364,24.73639178276062,1.3732909920349812e-08,1.00135799652179e-09,0.7472673058509827,0.10284645855426788,0.03581606596708298,0.13763687014579773,0.35247209668159485,1.0
201.39394471334407,0.337,1000.0,32,640000,0.0062181936,74.45291609308522,0.008223862389733223,-5.1498409980865745e-09,19.408992528915405,6.125728368759155,25.534722328186035,4.577636492086867e-09,-9.53674250681047e-10,0.6698169708251953,0.10835880786180496,0.044577691704034805,0.16178840398788452,0.3755376935005188,1.0
209.69153196032545,0.5240000000000001,1000.0,33,660000,0.0038795304,62.813238299424484,0.004245271737294574,-3.340244347782573e-08,18.283421516418457,6.118974447250366,24.402397394180298,2.7465819840699623e-08,-3.337859988405967e-10,0.7268484830856323,0.09532831609249115,0.03785663843154907,0.13115942478179932,0.3932601511478424,1.0
226.57862102884692,0.517,1000.0,34,680000,0.004064774,58.54931544407158,0.005541840477737053,-3.8146971692576415e-10,18.409247636795044,6.263108253479004,24.672357320785522,1.5258788677030566e-09,9.536742923144104e-11,0.6817634701728821,0.10195408016443253,0.04302911460399628,0.14955049753189087,0.38648179173469543,1.0
286.11026463194673,0.446,1000.0,35,700000,0.005276904,51.1704379537303,0.002583170228314021,-1.4090537625577326e-08,18.89237880706787,6.717579364776611,25.609959602355957,1.2207030941624453e-08,-2.861022807554292e-10,0.7377796173095703,0.10117603093385696,0.0367431603372097,0.13714279234409332,0.36855241656303406,1.0
337.50352026593515,0.7220000000000001,1000.0,36,720000,0.007208595,69.48673461379519,0.02069257323757692,-1.6164779736982382e-08,19.254926204681396,6.1256935596466064,25.380622386932373,2.1362303925798187e-08,-1.239776614703203e-09,0.7176310420036316,0.11114120483398438,0.03883536905050278,0.15488487482070923,0.3769330084323883,1.0
379.3239321015804,0.9999999999999998,1000.0,37,740000,0.0075148186,68.10709499917972,0.009265017772581322,4.4345851435423356e-09,18.891906261444092,6.072356462478638,24.96426486968994,3.051757735406113e-09,-3.8146971692576415e-10,0.704740583896637,0.1106078177690506,0.040269043296575546,0.15695646405220032,0.3752326965332031,1.0
406.82793536712177,1.253,1000.0,38,760000,0.005874364,61.881917907326084,0.014603265740717375,5.054473728449693e-09,18.075378894805908,6.347384691238403,24.422765493392944,0.0,1.0490417423625331e-09,0.7770340442657471,0.10473500937223434,0.03312452882528305,0.1347961276769638,0.3594990074634552,1.0
409.10812699334525,1.3760000000000001,1000.0,39,780000,0.0085990215,68.5495799702444,0.021391909539397024,-5.817413217812373e-09,18.298985958099365,6.608007431030273,24.906994581222534,6.103515470812226e-09,-5.245208711812666e-10,0.7062334418296814,0.12138709425926208,0.04009898006916046,0.1718936711549759,0.37313202023506165,2.0
414.0130848470938,1.5439999999999998,1000.0,40,800000,0.007883949,70.1166834715825,0.01810850664279216,-2.3651121949797016e-08,19.189160108566284,6.652849435806274,25.842012405395508,2.7465819840699623e-08,1.1444091230217168e-09,0.7232475280761719,0.11516032367944717,0.03823454678058624,0.15927353501319885,0.38702771067619324,2.0
444.5860522931997,1.9460000000000004,1000.0,41,820000,0.004714132,85.44154674748707,0.036806543315849774,-1.201629551417227e-08,19.07402753829956,6.164975166320801,25.23900556564331,6.103515470812226e-09,-3.528594971768939e-09,0.7885926365852356,0.09921719133853912,0.032160621136426926,0.1258212774991989,0.37139856815338135,1.0
494.533956135159,2.5600000000000005,1000.0,42,840000,0.006396644,86.31438339622157,0.04031991394129908,5.7220459481754915e-09,17.992454290390015,6.03149676322937,24.02395248413086,-4.577636492086867e-09,0.0,0.751516580581665,0.11764169484376907,0.03541218116879463,0.15653027594089508,0.3618069291114807,2.0
520.613347731514,3.5050000000000003,1000.0,43,860000,0.0087376805,80.11657971667636,0.05073692002007441,-3.433227035998243e-09,18.795345306396484,6.1813578605651855,24.976704120635986,4.577636492086867e-09,3.433227480087453e-09,0.7133317589759827,0.10904233157634735,0.039304908365011215,0.15285241603851318,0.3966662883758545,1.0
501.17348845031756,3.9300000000000006,1000.0,44,880000,0.007457558,72.7878017474132,0.05900896123616369,-1.1444091230217168e-09,19.560026168823242,6.447373151779175,26.007400274276733,0.0,-7.629394338515283e-10,0.6798155307769775,0.11995899677276611,0.04327606037259102,0.17639875411987305,0.3947858214378357,2.0
490.97936765586184,3.6449999999999996,1000.0,45,900000,0.007202789,76.114839838113,0.02299028013411696,-1.0490417423625331e-08,18.748521089553833,6.122931718826294,24.87145471572876,7.247924482811641e-09,1.1444091230217168e-09,0.7208240628242493,0.1358688473701477,0.038492076098918915,0.1883978396654129,0.34964850544929504,3.0
522.1967301892942,3.963,1000.0,46,920000,0.008531412,92.66357300995261,0.09849414551856032,3.814696336590373e-10,18.613506078720093,6.00423526763916,24.617743253707886,0.0,2.8610229740877458e-09,0.6742715239524841,0.12384820729494095,0.04399063438177109,0.1835002601146698,0.39472097158432007,2.0
597.0200640077817,5.378,1000.0,47,940000,0.008720891,86.61341605216835,0.09942942520330667,7.820129432900558e-09,18.684996366500854,6.3356711864471436,25.02066922187805,-4.1961669694501325e-09,5.340575981449547e-09,0.6145326495170593,0.12055402994155884,0.05295901745557785,0.1958143413066864,0.42154842615127563,2.0
634.945471423732,7.953,1000.0,48,960000,0.008947729,109.75145000287682,0.16196460578424535,-2.2888183792701966e-08,19.217426538467407,6.16973090171814,25.38715958595276,1.907348590179936e-08,-2.2888182460434336e-09,0.6867013573646545,0.14073412120342255,0.042412519454956055,0.20480483770370483,0.385628879070282,3.0
642.709472025799,9.074,1000.0,49,980000,0.008908439,107.39496292551611,0.1455225155825258,1.9073476131836742e-10,18.868064403533936,6.488043308258057,25.356109380722046,0.0,-2.0980834847250662e-09,0.7417959570884705,0.11911533772945404,0.03634636104106903,0.16024534404277802,0.3863249719142914,2.0
