Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/KL,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv,Misc/Alpha,Misc/FinalStepNorm,Misc/xHx,Misc/gradient_norm,Misc/H_inv_g,Misc/AcceptanceStep
-641.5502543496546,0.1798869828571841,1000.0,1,20000,0.0010175019,25.990203571927015,0.005893592754746698,1.3351439953623867e-08,15.799219369888306,6.694811105728149,22.494032382965088,-1.2207030941624453e-08,1.2874602495216436e-09,0.6633619666099548,0.08299140632152557,0.04544946178793907,0.1251235455274582,0.40141263604164124,1.0
-624.1034257124328,0.034040169089634705,1000.0,2,40000,0.0007267623,27.63117436755235,9.299340258679598e-06,8.387565486600579e-08,19.696516275405884,7.270298957824707,26.966817140579224,-7.934570334100499e-08,-3.278255444882916e-11,0.8371142148971558,0.07616391777992249,0.02854042313992977,0.09100675582885742,0.3496074378490448,1.0
-611.3724683148464,0.011033114969652454,1000.0,3,60000,0.0008835374,29.682307114570765,8.108783317643357e-10,-4.42542003042945e-08,20.482232332229614,6.748310089111328,27.23054528236389,4.1198727984692596e-08,-3.724562758905536e-12,0.7172521352767944,0.08015850931406021,0.03887641429901123,0.11177687346935272,0.38542190194129944,1.0
-583.2145475364508,0.0,1000.0,4,80000,0.0008679964,30.498518341817675,2.675122211173525e-11,-3.812268722924728e-09,20.481691122055054,8.396676063537598,28.878368854522705,4.577636492086867e-09,2.425804132219489e-12,0.7602658867835999,0.07973271608352661,0.03460181504487991,0.10489340871572495,0.3648991286754608,1.0
-556.6851413934754,0.0,1000.0,5,100000,0.00087345816,32.25904949455504,1.8419548666205236e-11,-1.983568331809238e-08,18.12181854248047,6.413023948669434,24.534845113754272,2.2888183792701966e-08,7.519702091909886e-13,0.7695995569229126,0.07953580468893051,0.03376760333776474,0.1033644750714302,0.3618796467781067,1.0
-522.7544405267529,0.0,1000.0,6,120000,0.0009432188,29.28432466725635,1.3324831625335454e-11,4.6538612963331616e-08,19.205147981643677,8.568461179733276,27.773611545562744,-4.882812376649781e-08,-6.933987346975645e-13,0.8557589054107666,0.08039937168359756,0.027310334146022797,0.09397047758102417,0.32814306020736694,1.0
-490.66232161315463,0.0,1000.0,7,140000,0.00071414147,27.399675611629608,9.82000290918342e-12,1.8309730620558184e-08,20.399736642837524,8.18989086151123,28.589629411697388,-1.831054596834747e-08,-8.134520617861241e-13,0.8702781796455383,0.07549062371253967,0.02640666998922825,0.08676251024007797,0.3411567509174347,1.0
-478.39204611462293,0.0,1000.0,8,160000,0.00079980853,32.72592379454594,1.3595306737029049e-09,-9.919158827642605e-09,19.929445028305054,7.681947708129883,27.611395359039307,9.155272984173735e-09,-9.491486372900648e-13,0.8874914646148682,0.07756231725215912,0.025392264127731323,0.08741579204797745,0.3237961232662201,1.0
-448.08896110496715,0.0,1000.0,9,180000,0.00094581925,29.295841468519466,1.4271928361102069e-09,6.103540783897188e-09,20.33733820915222,6.399524450302124,26.73686456680298,-6.103515470812226e-09,2.073647785601207e-14,0.8401418924331665,0.08032064139842987,0.02833508513867855,0.0956219956278801,0.33391377329826355,1.0
-419.9620790295936,0.0,1000.0,10,200000,0.0012654016,28.121091403475234,1.6395327296155006e-09,-1.5259349339658002e-09,17.908284187316895,7.596532821655273,25.504819869995117,2.2888182460434336e-09,-5.452420538177606e-14,0.7461636662483215,0.08510376513004303,0.0359220914542675,0.11407141387462616,0.35773447155952454,1.0
-396.2642841167477,0.0,1000.0,11,220000,0.0009691944,21.08735542175876,2.046256382924837e-09,-3.05181169224511e-09,19.82549738883972,6.590869903564453,26.416369199752808,5.340575981449547e-09,-5.397850948770516e-14,0.8355083465576172,0.0821257010102272,0.02865023724734783,0.09831228107213974,0.32101795077323914,1.0
-381.6950036293955,0.0,1000.0,12,240000,0.0011282898,29.932937572868006,1.8114322878782686e-09,-1.5259013608215355e-08,20.23626160621643,7.897543907165527,28.13380718231201,1.3732909920349812e-08,-2.2560015108200743e-13,0.8280368447303772,0.080899678170681,0.029169604182243347,0.09771673381328583,0.3458626866340637,1.0
-349.95755501252427,0.0,1000.0,13,260000,0.0011233855,23.12352664728833,8.975934406447448e-10,-2.0600076311438897e-08,20.20002508163452,7.3400492668151855,27.540077924728394,1.678466787780053e-08,-7.106791283933989e-13,0.7731086611747742,0.08257807791233063,0.033461760729551315,0.10683052241802216,0.3556215167045593,1.0
-322.1068105866888,0.0,1000.0,14,280000,0.0009198677,22.28621223534748,7.81280125436831e-10,-1.754716372204257e-08,16.534598350524902,7.155413866043091,23.69001531600952,2.4414061883248905e-08,4.4274200733558644e-13,0.7926639914512634,0.0801825076341629,0.03183109313249588,0.10117010772228241,0.3482138216495514,1.0
-298.7687630520989,0.0,1000.0,15,300000,0.0015474687,19.503037311772633,1.2484982425741106e-09,-4.577980217135291e-09,20.435030698776245,6.816674709320068,27.251708984375,3.814697002724188e-09,-3.437889892470708e-13,0.7129315733909607,0.08751848340034485,0.039349038153886795,0.12277122586965561,0.37107914686203003,1.0
-275.7838721517652,0.0,1000.0,16,320000,0.0012263977,24.016481562328945,2.7077527520085644e-09,-8.392588846106719e-09,20.04309606552124,7.8123345375061035,27.855433225631714,1.3732909920349812e-08,-2.5429471354164457e-13,0.8909058570861816,0.08302134275436401,0.02519800513982773,0.09320401400327682,0.3070676624774933,1.0
-251.2731657316378,0.0,1000.0,17,340000,0.0010474852,19.982560172961776,3.087885895091997e-10,-2.517831987347563e-08,20.365903615951538,7.65380597114563,28.01971173286438,1.831054596834747e-08,-1.3187672525186156e-12,0.734629213809967,0.08069182187318802,0.037058982998132706,0.10985387116670609,0.3796541094779968,1.0
-226.78787727985596,0.0,1000.0,18,360000,0.0010803253,18.278014278411867,7.287744632328035e-10,1.525881820896302e-08,18.933492422103882,6.08708930015564,25.02058506011963,-1.4495848965623281e-08,3.0109957902630866e-14,0.6941218972206116,0.08026102185249329,0.04151053726673126,0.11564421653747559,0.40557801723480225,1.0
-197.89931150803844,0.0,1000.0,19,380000,0.0011078542,17.617623987015644,7.61476553867498e-10,-2.4414060106892066e-08,18.892789602279663,7.835156679153442,26.727948427200317,2.1362303925798187e-08,2.0904167509678846e-15,0.7462708950042725,0.07890482246875763,0.03591177240014076,0.1057475358247757,0.39887556433677673,1.0
-174.58031261274834,0.0,1000.0,20,400000,0.001272743,15.219053310953129,7.123288380215463e-10,-1.6785117296080898e-08,20.776294946670532,6.960228443145752,27.736525297164917,1.4877318932349226e-08,-4.4983607767543066e-13,0.6870166659355164,0.08298073709011078,0.042373597621917725,0.12079620361328125,0.3995407819747925,1.0
-157.37309808915973,0.0,1000.0,21,420000,0.0010079839,17.33843962493216,8.10146797008342e-10,3.0514692994643156e-09,20.4778254032135,6.797414064407349,27.275241374969482,-3.051757735406113e-09,-2.893102695345623e-13,0.7194291949272156,0.07730000466108322,0.03864148259162903,0.10745853930711746,0.41890838742256165,1.0
-145.5388339608354,0.0,1000.0,22,440000,0.0012430616,19.85109492137933,8.898196203691255e-10,9.154875080241709e-09,17.174328565597534,6.206670045852661,23.381001472473145,-1.525878801089675e-08,-3.9735822596718984e-13,0.7850185036659241,0.08162713050842285,0.03245413675904274,0.10399574041366577,0.361093670129776,1.0
-115.04833554767549,0.0,1000.0,23,460000,0.0011803593,19.663853752233422,7.503537898400194e-10,3.433170858713197e-09,20.7760272026062,7.4924798011779785,28.268508911132812,-7.629394338515283e-10,-5.661604472457886e-14,0.7134044170379639,0.07955591380596161,0.039296895265579224,0.11152853071689606,0.41868987679481506,1.0
-90.30741133324618,0.0,1000.0,24,480000,0.00100135,21.089579789349987,8.09605661791011e-10,-3.051716035429308e-08,21.19076156616211,7.088263511657715,28.27902865409851,2.9754637864698452e-08,4.157300046749024e-13,0.6255459785461426,0.08012999594211578,0.051110655069351196,0.12810638546943665,0.4488717317581177,1.0
