Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-652.7028184478725,0.10488698285718409,1000.0,1,20000,40,0.013642345555126667,0.00029939999999999996,25.110881866586094,0.002905952119899463,-0.013896746805886895,19.09076166152954,93.89546203613281,112.98622560501099,-1.9836424769437144e-07,1.358985812771607e-09
-649.1790405221324,0.06808033817926941,1000.0,2,40000,40,0.015448745340108871,0.00029879999999999994,35.8969776893957,0.0008809596292546968,-0.015252830566520008,17.897849798202515,93.86257553100586,111.76042675971985,-9.00268517511904e-08,-3.8146971692576415e-10
-635.135339019064,0.049066229939304914,1000.0,3,60000,40,0.016448192298412323,0.00029819999999999993,32.286355940450115,0.0011767613633876866,-0.01889921729136764,19.03294801712036,94.85232162475586,113.88527083396912,-1.2969969986897922e-08,1.3887881955554349e-09
-603.4138173057983,0.05000000000000001,1000.0,4,80000,39,0.02089412696659565,0.0002975999999999999,31.03253176593757,0.0002576810526810253,-0.023269061673595246,18.531922101974487,92.2594850063324,110.79140853881836,-2.3651121949797016e-08,-1.6689299942029834e-10
-573.6861882200149,0.041,1000.0,5,100000,31,0.020993368700146675,0.0002969999999999999,30.885874217974088,0.0006257578476381344,-0.022486896892792815,18.969759225845337,72.25500845909119,91.22476863861084,-1.1062621929625038e-08,1.3828277412031298e-09
-532.0327389153392,0.025000000000000005,1000.0,6,120000,26,0.020025968551635742,0.0002963999999999999,32.854122881515515,0.00012513058708893017,-0.019989555952068017,20.008015155792236,62.32391858100891,82.33193516731262,1.5258788677030566e-09,9.357928876241317e-10
-487.2647640425118,0.020000000000000004,1000.0,7,140000,26,0.020523106679320335,0.00029579999999999987,28.06186488876474,2.7812812939209927e-05,-0.02226021066186714,19.462021350860596,61.113224506378174,80.57524824142456,-1.831054596834747e-08,1.0643154135792088e-09
-445.34636116451145,0.009,1000.0,8,160000,20,0.020584966987371445,0.0002951999999999999,20.97810554847169,5.334497699588185e-06,-0.02172655841445747,18.805386543273926,47.280492067337036,66.08588075637817,3.814697002724188e-09,-1.1516734232941417e-09
-405.4342602571029,0.0,1000.0,9,180000,16,0.02028338797390461,0.0002945999999999999,21.107720609766226,3.6954434922397823e-06,-0.01919382218232069,19.327724933624268,36.62239694595337,55.95012402534485,-7.629394005448376e-09,9.855255500568205e-10
-368.67484333823916,0.0,1000.0,10,200000,15,0.02047712914645672,0.0002939999999999999,21.210960713489115,2.5698693859085245e-06,-0.019055899647009957,19.246822118759155,35.72792887687683,54.9747531414032,-4.577636492086867e-09,-1.3163312662101134e-09
