Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/KL,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv,Misc/Alpha,Misc/FinalStepNorm,Misc/xHx,Misc/gradient_norm,Misc/H_inv_g,Misc/AcceptanceStep
-683.3854369138536,0.0,1000.0,1,20000,0.000849724,28.319576192357736,0.003962501956451725,1.8215178698710588e-08,19.840219974517822,6.102293252944946,25.94251585006714,-2.0980834847250662e-08,-1.40666955861235e-09,0.6567007899284363,0.07948146760463715,0.04637616127729416,0.12104625999927521,0.42234575748443604,1.0
-660.4969717022698,0.0,1000.0,2,40000,0.0008671992,32.438185740428366,6.514115836586251e-06,5.303677141910157e-08,19.638919353485107,5.76053786277771,25.399460077285767,-5.7220457705398076e-08,-3.725290076417309e-10,0.7004075646400452,0.07958067208528519,0.0407688282430172,0.11363822221755981,0.3993939459323883,1.0
-640.7265083013696,0.0,1000.0,3,60000,0.0008959441,35.83144922074239,4.097454869161026e-06,4.802607023179917e-08,19.035813808441162,6.225847244262695,25.261664152145386,-4.577636758540393e-08,-7.994472861483359e-10,0.7143816947937012,0.08045121282339096,0.03918945789337158,0.11263269186019897,0.38333573937416077,1.0
-600.5391313175902,0.0,1000.0,4,80000,0.0008983321,32.01191807400649,2.7610699608613355e-06,6.412416553303046e-08,19.038898944854736,5.729429721832275,24.768330574035645,-6.256103546320446e-08,-1.4908611012387496e-09,0.7445195317268372,0.08040408045053482,0.03608092665672302,0.1080111712217331,0.3681323230266571,1.0
-550.2483572845662,0.0,1000.0,5,100000,0.0010745355,36.62610422486712,1.9301808489958864e-06,1.839762475697171e-08,20.224453687667847,5.822309970855713,26.046764850616455,-1.9836425835251248e-08,8.782371357929364e-11,0.7323481440544128,0.08201068639755249,0.03729019686579704,0.11199989914894104,0.3788941502571106,1.0
-515.3161904333857,0.0,1000.0,6,120000,0.00089755375,26.605043741699998,1.3160769837630685e-06,2.7268193036888988e-08,18.937195777893066,5.807549238204956,24.744746923446655,-3.05175760217935e-08,-1.9688158048314364e-10,0.6879910230636597,0.07978536933660507,0.042253658175468445,0.1159842237830162,0.40532100200653076,1.0
-488.58489783833556,0.0,1000.0,7,140000,0.0013216406,33.19431027333448,9.198481706650577e-07,1.4402716352890366e-08,18.619771718978882,6.494232654571533,25.114007472991943,-1.678466787780053e-08,-9.35047872463457e-11,0.91167151927948,0.08398699015378952,0.02406318299472332,0.09214241802692413,0.3066612482070923,1.0
-465.7331758964875,0.0,1000.0,8,160000,0.0010706767,27.53054837147901,6.444961798386511e-07,1.8129030721070194e-08,18.850124835968018,6.928032159805298,25.778159379959106,-1.9836425835251248e-08,7.729977248571718e-12,0.729536235332489,0.0816783607006073,0.03757821395993233,0.11197380721569061,0.3802470862865448,1.0
-430.3148301724691,0.0,1000.0,9,180000,0.0010798677,25.24327137819521,4.611194430895388e-07,-4.8760786519608246e-09,19.6695077419281,6.0423290729522705,25.711838245391846,3.814697002724188e-09,-2.978835234035415e-10,0.7362662553787231,0.08235002309083939,0.03689436614513397,0.11186210811138153,0.376749187707901,1.0
-381.16004584959217,0.0,1000.0,10,200000,0.0013638074,25.18933712114954,3.093725607561665e-07,6.1735976331078746e-09,19.44966459274292,5.737441778182983,25.187109231948853,-8.01086397217432e-09,7.15255701888573e-11,0.7806838750839233,0.08360923081636429,0.03281553089618683,0.10711177438497543,0.3614250123500824,1.0
-343.7523796498595,0.0,1000.0,11,220000,0.0009539229,21.766129856352592,2.1682725400063309e-07,-1.825671502864168e-09,19.062941312789917,5.9555277824401855,25.018471002578735,1.907348501362094e-09,8.121132932803476e-11,0.6986252665519714,0.08017511665821075,0.0409771092236042,0.1147756278514862,0.4000546932220459,1.0
-322.04196411821073,0.004,1000.0,12,240000,0.00081430277,29.03212802668286,0.00044023827594083086,-9.536743617033494e-11,18.494287490844727,5.71525764465332,24.2095468044281,1.5258788677030566e-09,1.430511403777146e-10,0.8059682846069336,0.07598622888326645,0.030788883566856384,0.09429557621479034,0.370303213596344,1.0
-302.93005607143266,0.020000000000000004,1000.0,13,260000,0.0011185257,21.85339211931654,1.2329789687355023e-07,-7.80327180649465e-09,19.32429265975952,6.197472333908081,25.521766662597656,4.577636492086867e-09,-1.7373821825650282e-10,0.7008271217346191,0.08099087327718735,0.040720026940107346,0.11557777225971222,0.4106363356113434,1.0
-275.14056895117665,0.020000000000000004,1000.0,14,280000,0.0011426844,25.876205626566698,8.958741248687866e-08,-1.135077365432835e-08,19.201282262802124,5.828710079193115,25.029993295669556,1.0681151962899094e-08,9.299255809835927e-11,0.6854035258293152,0.08198884129524231,0.042573291808366776,0.11963288486003876,0.40986931324005127,1.0
-254.89332664444115,0.006,1000.0,15,300000,0.0015414851,24.159670500542706,6.334544107373366e-08,-6.06763617128081e-09,19.329606533050537,6.179192066192627,25.508800506591797,6.103515470812226e-09,3.580935201141777e-11,0.6616843342781067,0.08797315508127213,0.0456802174448967,0.13296359777450562,0.3976883590221405,1.0
-230.5293143394568,0.0,1000.0,16,320000,0.0016070559,18.267170752993056,4.3077277422425444e-08,6.2647274035043665e-09,19.083919763565063,5.77840256690979,24.862323999404907,-8.392333938900265e-09,-2.945307539525821e-11,0.5597175359725952,0.08518542349338531,0.0638398826122284,0.15220357477664948,0.5009292960166931,1.0
-201.22518080810264,0.0,1000.0,17,340000,0.0014661723,24.263457221741888,3.29032710829702e-08,-1.4513381607628162e-09,19.007623434066772,5.909596920013428,24.917222261428833,6.866454960174906e-09,7.422640974086292e-11,0.7548403143882751,0.0844603031873703,0.035101015120744705,0.11190349608659744,0.3802352249622345,1.0
-177.91411314207647,0.0,1000.0,18,360000,0.0012721036,20.912294999505303,2.4400690602662253e-08,-4.245000795322085e-08,18.9061496257782,6.259445905685425,25.165597438812256,3.9482117131228733e-08,8.370261428414238e-11,0.6955835819244385,0.08433184772729874,0.041336264461278915,0.12124882638454437,0.39368921518325806,1.0
-150.29261452182894,0.0,1000.0,19,380000,0.0015918853,21.005126882662438,1.8840078058710742e-08,-4.428194344541225e-08,19.84921383857727,6.074679136276245,25.92389488220215,4.1961669694501325e-08,-3.150198504831003e-11,0.693749725818634,0.08785378932952881,0.04155509173870087,0.12664619088172913,0.38196471333503723,1.0
